Cluster,Point,Reading Time,Import,Export,,
2A,COMMON_SERVICES,2025-03-31 23:59:00+00:00,7388.6,0,,
2A,COMMON_SERVICES_DB1,2025-03-31 23:59:00+00:00,31.41,,,
2A,COMMON_SERVICES_DB2,2025-03-31 23:59:00+00:00,56,,,
2B,01,2025-03-31 23:59:00+00:00,1782,10632,,
2B,02,2025-03-31 23:59:00+00:00,4597,12038,,
2B,03,2025-03-31 23:59:00+00:00,2765,9685,,
2B,04,2025-03-31 23:59:00+00:00,242,1884,,
2B,05,2025-03-31 23:59:00+00:00,4686,27797,,
2B,06,2025-03-31 23:59:00+00:00,3942,9874,3760,8999
2B,07,2025-03-31 23:59:00+00:00,4164,23141,,
2B,08,2025-03-31 23:59:00+00:00,5626,7164,,
2B,09,2025-03-31 23:59:00+00:00,7011,16106,,
2B,10,2025-03-31 23:59:00+00:00,5860,12763,,
2B,11,2025-03-31 23:59:00+00:00,,,,
2B,12,2025-03-31 23:59:00+00:00,"2,893",92.39,,
2B,13,2025-03-31 23:59:00+00:00,,,,
2B,14,2025-03-31 23:59:00+00:00,,,,
2B,15,2025-03-31 23:59:00+00:00,1825,4556,,
2B,16,2025-03-31 23:59:00+00:00,2704,23050,,
2B,17,2025-03-31 23:59:00+00:00,3038,4814,,
2B,18,2025-03-31 23:59:00+00:00,,,,
2B,19,2025-03-31 23:59:00+00:00,,,,
2B,20,2025-03-31 23:59:00+00:00,,,,
2B,21,2025-03-31 23:59:00+00:00,9200,26811,,
2B,22,2025-03-31 23:59:00+00:00,,,,
2B,COMMON_BESS,2025-03-26 12:59:00+00:00,15942.4,13178.06,,
2B,COMMON_EV,2025-03-31 23:59:00+00:00,,,,
2B,COMMON_SERVICES,2025-03-26 12:59:00+00:00,11103.86,0,,
2B,COMMON_SERVICES_DB1,2025-03-31 23:59:00+00:00,,,,
2B,COMMON_SERVICES_DB2,2025-03-31 23:59:00+00:00,,,,
3A,01,2025-03-31 23:59:00+00:00,,,,
3A,02,2025-03-31 23:59:00+00:00,,,,
3A,03,2025-03-31 23:59:00+00:00,,,,
3A,04,2025-03-31 23:59:00+00:00,3402,12253,,
3A,05,2025-03-31 23:59:00+00:00,,,,
3A,06,2025-03-31 23:59:00+00:00,,,,
3A,07,2025-03-31 23:59:00+00:00,4701,16309,,
3A,08,2025-03-31 23:59:00+00:00,,,,
3A,09,2025-03-31 23:59:00+00:00,1034,1528,,
3A,10,2025-03-31 23:59:00+00:00,,,,
3A,11,2025-03-31 23:59:00+00:00,,,,
3A,12,2025-03-31 23:59:00+00:00,,,,
3A,13,2025-03-31 23:59:00+00:00,,,,
3A,14,2025-03-31 23:59:00+00:00,,,,
3A,15,2025-03-31 23:59:00+00:00,,,,
3A,16,2025-03-31 23:59:00+00:00,4406,6254,,
3A,17,2025-03-31 23:59:00+00:00,,,,
3A,18,2025-03-31 23:59:00+00:00,,,,
3A,19,2025-03-31 23:59:00+00:00,2438,11493,,
3A,20,2025-03-31 23:59:00+00:00,,,,
3A,21,2025-03-31 23:59:00+00:00,,,,
3A,22,2025-03-31 23:59:00+00:00,2145,7389,,
3A,23,2025-03-31 23:59:00+00:00,,,,
3A,24,2025-03-31 23:59:00+00:00,3974,17190,,
3A,25,2025-03-31 23:59:00+00:00,3980,10177,,
3A,26,2025-03-31 23:59:00+00:00,,,,
3A,27,2025-03-31 23:59:00+00:00,623,3300,,
3A,COMMON_BESS,2025-03-31 23:59:00+00:00,4113.52,2485.57,,
3A,COMMON_EV,2025-03-31 23:59:00+00:00,,,,
3A,COMMON_SERVICES,2025-03-31 23:59:00+00:00,3424.25,0,,
3A,COMMON_SERVICES_DB1,2025-03-31 23:59:00+00:00,,,,
3A,COMMON_SERVICES_DB2,2025-03-31 23:59:00+00:00,,,,
3B,01,2025-03-31 23:59:00+00:00,,,,
3B,02,2025-03-31 23:59:00+00:00,,,,
3B,03,2025-03-31 23:59:00+00:00,,,,
3B,04,2025-03-31 23:59:00+00:00,,,,
3B,05,2025-03-31 23:59:00+00:00,,,,
3B,06,2025-03-31 23:59:00+00:00,,,,
3B,07,2025-03-31 23:59:00+00:00,2803.62,5538.56,,
3B,08,2025-03-31 23:59:00+00:00,5096.03,11518.24,,
3B,09,2025-03-31 23:59:00+00:00,,,,
3B,10,2025-03-31 23:59:00+00:00,,,,
3B,11,2025-03-31 23:59:00+00:00,,,,
3B,12,2025-03-31 23:59:00+00:00,,,,
3B,13,2025-03-31 23:59:00+00:00,,,,
3B,14,2025-03-31 23:59:00+00:00,,,,
3B,15,2025-03-31 23:59:00+00:00,,,,
3B,16,2025-03-31 23:59:00+00:00,,,,
3B,17,2025-03-31 23:59:00+00:00,,,,
3B,18,2025-03-31 23:59:00+00:00,,,,
3B,19,2025-03-31 23:59:00+00:00,,,,
3B,COMMON_BESS,2025-03-31 23:59:00+00:00,13092.21,10272.37,,
3B,COMMON_EV,2025-03-31 23:59:00+00:00,,,,
3B,COMMON_SERVICES,2025-03-31 23:59:00+00:00,4657.72,0,,
3B,COMMON_SERVICES_DB1,2025-03-31 23:59:00+00:00,,,,
3B,COMMON_SERVICES_DB2,2025-03-31 23:59:00+00:00,,,,
