Cluster,Point,Reading Time,Import,Export
1A,01,2025-02-28 23:59:00+00:00,,
1A,02,2025-02-28 23:59:00+00:00,,
1A,03,2025-02-28 23:59:00+00:00,8830.0,0.0
1A,04,2025-02-28 23:59:00+00:00,4855.0,10612.0
1A,05,2025-02-28 23:59:00+00:00,3673.0,14647.0
1A,06,2025-02-28 23:59:00+00:00,8918.0,20965.0
1A,07,2025-02-15 14:36:00+00:00,8712.0,0.0
1A,08,2025-02-28 23:59:00+00:00,3404.0,4165.0
1A,09,2025-02-28 23:59:00+00:00,,
1A,10,2025-02-28 23:59:00+00:00,4324.0,21130.0
1A,11,2025-02-28 09:07:00+00:00,1194.0,24440.0
1A,12,2025-02-28 23:59:00+00:00,,
1A,13,2025-02-28 23:59:00+00:00,5392.0,44319.0
1A,14,2025-02-28 23:59:00+00:00,501.0,2399.0
1A,15,2025-02-28 23:59:00+00:00,,
1A,16,2025-02-28 23:59:00+00:00,2846.0,9378.0
1A,17,2025-02-28 23:59:00+00:00,22060.0,14003.0
1A,18,2025-02-28 23:59:00+00:00,,
1A,19,2025-02-28 23:59:00+00:00,3327.0,47349.0
1A,20,2025-02-28 23:59:00+00:00,3772.0,13341.0
1A,21,2025-02-28 23:59:00+00:00,1735.0,15149.0
1A,22,2025-02-28 23:59:00+00:00,5169.0,13938.0
1A,23,2025-02-28 23:59:00+00:00,3257.0,15720.0
1A,24,2025-02-28 23:59:00+00:00,,
1A,COMMON_BESS,2025-02-28 23:59:00+00:00,67826.0,55361.0
1A,COMMON_EV,2025-02-28 23:59:00+00:00,0.0,6152.0
1A,COMMON_SERVICES,2025-02-28 23:59:00+00:00,5343.0,0.0
1A,COMMON_SERVICES_DB1,2025-02-28 23:59:00+00:00,,
1A,COMMON_SERVICES_DB2,2025-02-28 23:59:00+00:00,,
1B,01,2025-02-28 23:59:00+00:00,6302.0,11728.0
1B,02,2025-02-28 23:59:00+00:00,4305.0,13586.0
1B,03,2025-02-28 23:59:00+00:00,2701.0,5275.0
1B,04,2025-02-28 23:59:00+00:00,268.0,5871.0
1B,05,2025-02-28 23:59:00+00:00,12657.0,17553.0
1B,06,2025-02-28 23:59:00+00:00,7388.0,13497.0
1B,07,2025-02-28 23:59:00+00:00,8816.0,11379.0
1B,08,2025-02-28 23:59:00+00:00,4764.0,10346.0
1B,09,2025-02-28 23:59:00+00:00,,
1B,10,2025-02-28 23:59:00+00:00,7104.0,19803.0
1B,11,2025-02-28 23:59:00+00:00,20313.0,14556.0
1B,12,2025-02-28 23:59:00+00:00,5448.0,25441.0
1B,13,2025-02-28 23:59:00+00:00,11250.0,24315.0
1B,14,2025-02-28 23:59:00+00:00,5206.0,10948.0
1B,15,2025-02-28 23:59:00+00:00,5040.0,11621.0
1B,16,2025-02-28 23:59:00+00:00,7493.0,11911.0
1B,17,2025-02-28 23:59:00+00:00,5548.0,18209.0
1B,18,2025-02-28 23:59:00+00:00,8339.0,702.0
1B,19,2025-02-28 23:59:00+00:00,3734.0,11806.0
1B,20,2025-02-28 23:59:00+00:00,10841.0,40923.0
1B,21,2025-02-28 23:59:00+00:00,13063.0,39181.0
1B,COMMON_BESS,2025-02-28 23:59:00+00:00,73412.0,60162.0
1B,COMMON_EV,2025-02-28 23:59:00+00:00,4645.0,0.0
1B,COMMON_SERVICES,2025-02-28 23:59:00+00:00,8127.0,0.0
1B,COMMON_SERVICES_DB1,2025-02-28 23:59:00+00:00,,
1B,COMMON_SERVICES_DB2,2025-02-28 23:59:00+00:00,,
1C,01,2025-02-28 23:59:00+00:00,8549.0,36147.0
1C,02,2025-02-28 23:59:00+00:00,3940.0,16602.0
1C,03,2025-02-28 23:59:00+00:00,3414.0,21422.0
1C,04,2025-02-28 23:59:00+00:00,2944.0,12825.0
1C,05,2025-02-28 23:59:00+00:00,6727.0,37400.0
1C,06,2025-02-28 23:59:00+00:00,5726.0,18997.0
1C,07,2025-02-28 23:59:00+00:00,,
1C,08,2025-02-28 23:59:00+00:00,13095.0,44296.0
1C,09,2025-02-28 23:59:00+00:00,,
1C,10,2025-02-28 23:59:00+00:00,6900.0,11546.0
1C,11,2025-02-28 23:59:00+00:00,,
1C,12,2025-02-28 23:59:00+00:00,1835.49,4812.1900000000005
1C,13,2025-02-28 23:59:00+00:00,6168.0,11307.0
1C,14,2025-02-28 23:59:00+00:00,13010.0,10855.0
1C,15,2025-02-28 23:59:00+00:00,7404.0,19466.0
1C,16,2025-02-28 23:59:00+00:00,7627.0,27788.0
1C,17,2025-02-28 23:59:00+00:00,,
1C,18,2025-02-28 23:59:00+00:00,5697.0,5995.0
1C,19,2025-02-28 23:59:00+00:00,10756.0,28182.0
1C,COMMON_BESS,2025-02-28 23:59:00+00:00,47738.0,38471.0
1C,COMMON_EV,2025-02-28 23:59:00+00:00,,
1C,COMMON_SERVICES,2025-02-28 23:59:00+00:00,4070.0,0.0
1C,COMMON_SERVICES_DB1,2025-02-28 23:59:00+00:00,,
1C,COMMON_SERVICES_DB2,2025-02-28 23:59:00+00:00,,
2A,01,2025-02-28 23:59:00+00:00,,
2A,02,2025-02-28 23:58:00+00:00,4504.0,21526.0
2A,03,2025-02-28 23:59:00+00:00,,
2A,04,2025-02-28 23:59:00+00:00,,
2A,05,2025-02-28 23:59:00+00:00,7592.0,10460.0
2A,06,2025-02-28 23:59:00+00:00,,
2A,07,2025-02-28 23:59:00+00:00,,
2A,08,2025-02-28 23:59:00+00:00,,
2A,09,2025-02-28 23:59:00+00:00,20407.0,7871.0
2A,10,2025-02-28 23:59:00+00:00,,
2A,11,2025-02-28 23:59:00+00:00,,
2A,12,2025-02-28 23:59:00+00:00,8462.0,17674.0
2A,13,2025-02-28 23:59:00+00:00,3841.0,6625.0
2A,14,2025-02-28 23:59:00+00:00,2843.0,5667.0
2A,15,2025-02-28 23:59:00+00:00,1726.0,7046.0
2A,16,2025-02-28 23:59:00+00:00,,
2A,17,2025-02-28 23:59:00+00:00,2630.0,5183.0
2A,18,2025-02-28 23:59:00+00:00,2449.0,2524.0
2A,19,2025-02-28 23:59:00+00:00,,
2A,20,2025-02-28 23:59:00+00:00,,
2A,21,2025-02-28 23:59:00+00:00,,
2A,22,2025-02-28 23:59:00+00:00,,
2A,23,2025-02-28 23:59:00+00:00,,
2A,COMMON_BESS,2025-02-28 23:59:00+00:00,14827.34,12437.86
2A,COMMON_EV,2025-02-28 23:59:00+00:00,,
2A,COMMON_SERVICES,2025-02-28 23:59:00+00:00,7111.21,0.0
2A,COMMON_SERVICES_DB1,2025-02-28 23:59:00+00:00,,
2A,COMMON_SERVICES_DB2,2025-02-28 23:59:00+00:00,,
2B,01,2025-02-28 23:59:00+00:00,1680.0,9331.0
2B,02,2025-02-28 23:59:00+00:00,4500.0,10625.0
2B,03,2025-02-28 23:59:00+00:00,2701.0,8892.0
2B,04,2025-02-28 23:59:00+00:00,144.0,977.0
2B,05,2025-02-28 23:59:00+00:00,4587.0,26444.0
2B,06,2025-02-28 23:59:00+00:00,3760.0,8999.0
2B,07,2025-02-28 23:59:00+00:00,4079.0,22284.0
2B,08,2025-02-28 23:59:00+00:00,5533.0,6275.0
2B,09,2025-02-28 23:59:00+00:00,6805.0,14761.0
2B,10,2025-02-28 23:59:00+00:00,5523.0,11544.0
2B,11,2025-02-28 23:59:00+00:00,,
2B,12,2025-02-28 23:59:00+00:00,,
2B,13,2025-02-15 12:12:00+00:00,273.0,711.0
2B,14,2025-02-28 23:59:00+00:00,,
2B,15,2025-02-28 23:59:00+00:00,1598.0,4556.0
2B,16,2025-02-28 23:59:00+00:00,2650.0,22227.0
2B,17,2025-02-28 23:59:00+00:00,2959.0,3995.0
2B,18,2025-02-28 23:59:00+00:00,,
2B,19,2025-02-28 23:59:00+00:00,,
2B,20,2025-02-28 23:59:00+00:00,,
2B,21,2025-02-28 23:59:00+00:00,8930.0,25150.0
2B,22,2025-02-28 23:59:00+00:00,,
2B,COMMON_BESS,2025-02-28 23:59:00+00:00,13487.18,11163.28
2B,COMMON_EV,2025-02-28 23:59:00+00:00,,
2B,COMMON_SERVICES,2025-02-28 23:59:00+00:00,10689.6,0.0
2B,COMMON_SERVICES_DB1,2025-02-28 23:59:00+00:00,,
2B,COMMON_SERVICES_DB2,2025-02-28 23:59:00+00:00,,
3A,01,2025-02-28 23:59:00+00:00,,
3A,02,2025-02-28 23:59:00+00:00,,
3A,03,2025-02-28 23:59:00+00:00,,
3A,04,2025-02-28 23:59:00+00:00,3294.0,11255.0
3A,05,2025-02-28 23:59:00+00:00,,
3A,06,2025-02-28 23:59:00+00:00,,
3A,07,2025-02-28 23:59:00+00:00,4400.0,14701.0
3A,08,2025-02-28 23:59:00+00:00,,
3A,09,2025-02-28 23:59:00+00:00,732.0,512.0
3A,10,2025-02-28 23:59:00+00:00,,
3A,11,2025-02-28 23:59:00+00:00,,
3A,12,2025-02-28 23:59:00+00:00,,
3A,13,2025-02-28 23:59:00+00:00,,
3A,14,2025-02-28 23:59:00+00:00,,
3A,15,2025-02-28 23:59:00+00:00,,
3A,16,2025-02-28 23:59:00+00:00,4235.0,5346.0
3A,17,2025-02-28 23:59:00+00:00,,
3A,18,2025-02-28 23:59:00+00:00,,
3A,19,2025-02-28 23:59:00+00:00,2342.0,10663.0
3A,20,2025-02-28 23:59:00+00:00,,
3A,21,2025-02-28 23:59:00+00:00,,
3A,22,2025-02-28 23:59:00+00:00,1951.0,6531.0
3A,23,2025-02-28 23:59:00+00:00,,
3A,24,2025-02-28 23:59:00+00:00,3807.0,15173.0
3A,25,2025-02-28 23:59:00+00:00,3822.0,9225.0
3A,26,2025-02-28 23:59:00+00:00,,
3A,27,2025-02-28 23:59:00+00:00,504.0,1665.0
3A,COMMON_BESS,2025-02-28 23:59:00+00:00,4068.01,2485.56
3A,COMMON_BESS,2025-02-07 00:53:00+00:00,4052.06,2485.55
3A,COMMON_BESS,2025-02-06 02:11:00+00:00,4050.44,2485.55
3A,COMMON_BESS,2025-02-05 23:32:00+00:00,4050.31,2485.55
3A,COMMON_EV,2025-02-28 23:59:00+00:00,,
3A,COMMON_SERVICES,2025-02-28 23:59:00+00:00,3299.92,0.0
3A,COMMON_SERVICES,2025-02-07 00:53:00+00:00,3206.83,0.0
3A,COMMON_SERVICES_DB1,2025-02-28 23:59:00+00:00,,
3A,COMMON_SERVICES_DB2,2025-02-28 23:59:00+00:00,,
3B,01,2025-02-28 23:59:00+00:00,,
3B,02,2025-02-28 23:59:00+00:00,,
3B,03,2025-02-28 23:59:00+00:00,,
3B,04,2025-02-28 23:59:00+00:00,,
3B,05,2025-02-28 23:59:00+00:00,,
3B,06,2025-02-28 23:59:00+00:00,,
3B,07,2025-02-28 23:59:00+00:00,2699.25,4593.49
3B,08,2025-02-28 23:59:00+00:00,4582.01,9896.14
3B,09,2025-02-28 23:59:00+00:00,,
3B,10,2025-02-28 23:59:00+00:00,,
3B,11,2025-02-28 23:59:00+00:00,,
3B,12,2025-02-28 23:59:00+00:00,,
3B,13,2025-02-28 23:59:00+00:00,,
3B,14,2025-02-28 23:59:00+00:00,,
3B,15,2025-02-28 23:59:00+00:00,,
3B,16,2025-02-28 23:59:00+00:00,,
3B,17,2025-02-28 23:59:00+00:00,,
3B,18,2025-02-28 23:59:00+00:00,,
3B,19,2025-02-28 23:59:00+00:00,,
3B,COMMON_BESS,2025-02-28 23:59:00+00:00,11303.17,8806.19
3B,COMMON_BESS,2025-02-06 04:06:00+00:00,9827.98,7567.24
3B,COMMON_BESS,2025-02-05 23:33:00+00:00,9772.29,7567.24
3B,COMMON_EV,2025-02-28 23:59:00+00:00,4351.33,0.0
3B,COMMON_SERVICES,2025-02-28 23:59:00+00:00,4497.04,0.0
3B,COMMON_SERVICES_DB1,2025-02-28 23:59:00+00:00,,
3B,COMMON_SERVICES_DB2,2025-02-28 23:59:00+00:00,,
