Cluster,Point,Reading Time,Import,Export
1A,01,2025-01-01 08:00:00+00:00,,
1A,02,2025-01-01 08:00:00+00:00,,
1A,03,2025-01-01 08:00:00+00:00,8271.0,0.0
1A,04,2025-01-01 08:00:00+00:00,4542.0,9031.0
1A,05,2025-01-01 08:00:00+00:00,3545.0,12884.0
1A,06,2025-01-01 08:00:00+00:00,8639.0,18121.0
1A,07,2025-01-01 08:00:00+00:00,,
1A,08,2025-01-01 08:00:00+00:00,3006.0,2569.0
1A,09,2025-01-01 08:00:00+00:00,,
1A,10,2025-01-01 08:00:00+00:00,3930.0,20316.0
1A,11,2025-01-01 08:00:00+00:00,1173.0,22593.0
1A,12,2025-01-01 08:00:00+00:00,,
1A,13,2025-01-01 08:00:00+00:00,5168.0,41072.0
1A,14,2025-01-01 08:00:00+00:00,,
1A,15,2025-01-01 08:00:00+00:00,,
1A,16,2025-01-01 08:00:00+00:00,2536.0,7804.0
1A,17,2025-01-01 08:00:00+00:00,20977.0,12029.0
1A,18,2025-01-01 08:00:00+00:00,,
1A,19,2025-01-01 08:00:00+00:00,3203.0,43757.0
1A,20,2025-01-01 08:00:00+00:00,3644.0,11511.0
1A,21,2025-01-01 08:00:00+00:00,1682.0,13350.0
1A,22,2025-01-01 08:00:00+00:00,5052.0,12269.0
1A,23,2025-01-01 08:00:00+00:00,3181.0,14010.0
1A,24,2025-01-01 08:00:00+00:00,,
1A,COMMON_BESS,2025-01-01 08:00:00+00:00,59297.0,48306.0
1A,COMMON_EV,2025-01-01 08:00:00+00:00,0.0,4535.0
1A,COMMON_SERVICES,2025-01-01 08:00:00+00:00,4913.0,0.0
1A,COMMON_SERVICES_DB1,2025-01-01 08:00:00+00:00,,
1A,COMMON_SERVICES_DB2,2025-01-01 08:00:00+00:00,,
1B,01,2025-01-01 08:00:00+00:00,6200.0,10303.0
1B,02,2025-01-01 08:00:00+00:00,4133.0,11104.0
1B,03,2025-01-01 08:00:00+00:00,2521.0,3777.0
1B,04,2025-01-01 08:00:00+00:00,188.0,4228.0
1B,05,2025-01-01 08:00:00+00:00,12384.0,15198.0
1B,06,2025-01-01 08:00:00+00:00,7108.0,11083.0
1B,07,2025-01-01 08:00:00+00:00,8532.0,10036.0
1B,08,2025-01-01 08:00:00+00:00,4410.0,8407.0
1B,09,2025-01-01 08:00:00+00:00,,
1B,10,2025-01-01 08:00:00+00:00,6876.0,18452.0
1B,11,2025-01-01 08:00:00+00:00,20006.0,12683.0
1B,12,2025-01-01 08:00:00+00:00,5260.0,22544.0
1B,13,2025-01-01 08:00:00+00:00,10946.0,21569.0
1B,14,2025-01-01 08:00:00+00:00,4820.0,8268.0
1B,15,2025-01-01 08:00:00+00:00,4892.0,10135.0
1B,16,2025-01-01 08:00:00+00:00,7246.0,10472.0
1B,17,2025-01-01 08:00:00+00:00,5345.0,16887.0
1B,18,2025-01-01 08:00:00+00:00,,
1B,19,2025-01-01 08:00:00+00:00,3621.0,10481.0
1B,20,2025-01-01 08:00:00+00:00,10535.0,37964.0
1B,21,2025-01-01 08:00:00+00:00,12589.0,36318.0
1B,COMMON_BESS,2025-01-01 08:00:00+00:00,65774.0,53961.0
1B,COMMON_EV,2025-01-01 08:00:00+00:00,4038.0,0.0
1B,COMMON_SERVICES,2025-01-01 08:00:00+00:00,7136.0,0.0
1B,COMMON_SERVICES_DB1,2025-01-01 08:00:00+00:00,,
1B,COMMON_SERVICES_DB2,2025-01-01 08:00:00+00:00,,
1C,01,2025-01-01 08:00:00+00:00,8252.0,33585.0
1C,02,2025-01-01 08:00:00+00:00,3795.0,15113.0
1C,03,2025-01-01 08:00:00+00:00,3227.0,18755.0
1C,04,2025-01-01 08:00:00+00:00,2811.0,11256.0
1C,05,2025-01-01 08:00:00+00:00,6084.0,34752.0
1C,06,2025-01-01 08:00:00+00:00,5469.0,15827.0
1C,07,2025-01-01 08:00:00+00:00,,
1C,08,2025-01-01 08:00:00+00:00,12726.0,41841.0
1C,09,2025-01-01 08:00:00+00:00,,
1C,10,2025-01-01 08:00:00+00:00,6735.0,10088.0
1C,11,2025-01-01 08:00:00+00:00,,
1C,12,2025-01-01 08:00:00+00:00,1704.76,3279.89
1C,13,2025-01-01 08:00:00+00:00,6030.0,9864.0
1C,14,2025-01-01 08:00:00+00:00,12736.0,9306.0
1C,15,2025-01-01 08:00:00+00:00,7111.0,16919.0
1C,16,2025-01-01 08:00:00+00:00,7360.0,24215.0
1C,17,2025-01-01 08:00:00+00:00,,
1C,18,2025-01-01 08:00:00+00:00,4379.0,4017.0
1C,19,2025-01-01 08:00:00+00:00,10411.0,25220.0
1C,COMMON_BESS,2025-01-01 08:00:00+00:00,42252.0,33894.0
1C,COMMON_EV,2025-01-01 08:00:00+00:00,,
