Cluster,Point,Reading Time,Import,Export
1A,01,2024-10-01 08:00:00+00:00,,
1A,02,2024-10-01 08:00:00+00:00,,
1A,03,2024-10-01 08:00:00+00:00,7147.0,0.0
1A,04,2024-10-01 08:00:00+00:00,4012.0,6465.0
1A,05,2024-10-01 08:00:00+00:00,3287.0,10052.0
1A,06,2024-10-01 08:00:00+00:00,7860.0,14094.0
1A,07,2024-10-01 08:00:00+00:00,,
1A,08,2024-10-01 08:00:00+00:00,2312.0,0.0
1A,09,2024-10-01 08:00:00+00:00,,
1A,10,2024-10-01 08:00:00+00:00,3549.0,17815.0
1A,11,2024-10-01 08:00:00+00:00,1138.0,19650.0
1A,12,2024-10-01 08:00:00+00:00,,
1A,13,2024-10-01 08:00:00+00:00,4840.0,36023.0
1A,14,2024-10-01 08:00:00+00:00,,
1A,15,2024-10-01 08:00:00+00:00,,
1A,16,2024-10-01 08:00:00+00:00,2060.0,5245.0
1A,17,2024-10-01 08:00:00+00:00,18767.0,9059.0
1A,18,2024-10-01 08:00:00+00:00,,
1A,19,2024-10-01 08:00:00+00:00,3000.0,38020.0
1A,20,2024-10-01 08:00:00+00:00,3389.0,8589.0
1A,21,2024-10-01 08:00:00+00:00,1590.0,10489.0
1A,22,2024-10-01 08:00:00+00:00,4843.0,9617.0
1A,23,2024-10-01 08:00:00+00:00,3041.0,11307.0
1A,24,2024-10-01 08:00:00+00:00,,
1A,COMMON_BESS,2024-09-29 06:45:00+00:00,44721.0,36413.0
1A,COMMON_EV,2024-09-29 06:45:00+00:00,0.0,2831.0
1A,COMMON_SERVICES,2024-09-29 06:45:00+00:00,4326.0,0.0
1A,COMMON_SERVICES_DB1,2024-10-01 08:00:00+00:00,,
1A,COMMON_SERVICES_DB2,2024-10-01 08:00:00+00:00,,
1B,01,2024-10-01 08:00:00+00:00,5955.0,8152.0
1B,02,2024-10-01 08:00:00+00:00,3899.0,6989.0
1B,03,2024-10-01 08:00:00+00:00,2201.0,1558.0
1B,04,2024-10-01 08:00:00+00:00,152.0,1259.0
1B,05,2024-10-01 08:00:00+00:00,11963.0,11417.0
1B,06,2024-10-01 08:00:00+00:00,6518.0,7182.0
1B,07,2024-10-01 08:00:00+00:00,7914.0,8099.0
1B,08,2024-10-01 08:00:00+00:00,4009.0,5207.0
1B,09,2024-10-01 08:00:00+00:00,,
1B,10,2024-10-01 08:00:00+00:00,6431.0,16401.0
1B,11,2024-10-01 08:00:00+00:00,18992.0,9837.0
1B,12,2024-10-01 08:00:00+00:00,4970.0,17766.0
1B,13,2024-10-01 08:00:00+00:00,10106.0,17296.0
1B,14,2024-10-01 08:00:00+00:00,4069.0,3841.0
1B,15,2024-10-01 08:00:00+00:00,4698.0,7748.0
1B,16,2024-10-01 08:00:00+00:00,6821.0,8358.0
1B,17,2024-10-01 08:00:00+00:00,5197.0,15140.0
1B,18,2024-10-01 08:00:00+00:00,,
1B,19,2024-10-01 08:00:00+00:00,3463.0,8435.0
1B,20,2024-10-01 08:00:00+00:00,9954.0,33328.0
1B,21,2024-10-01 08:00:00+00:00,11837.0,31629.0
1B,COMMON_BESS,2024-10-01 08:00:00+00:00,51805.0,42674.0
1B,COMMON_EV,2024-10-01 08:00:00+00:00,2814.0,0.0
1B,COMMON_SERVICES,2024-10-01 08:00:00+00:00,5734.0,0.0
1B,COMMON_SERVICES_DB1,2024-10-01 08:00:00+00:00,,
1B,COMMON_SERVICES_DB2,2024-10-01 08:00:00+00:00,,
1C,01,2024-10-01 08:00:00+00:00,7772.0,30022.0
1C,02,2024-10-01 08:00:00+00:00,3559.0,12978.0
1C,03,2024-10-01 08:00:00+00:00,2931.0,14953.0
1C,04,2024-10-01 08:00:00+00:00,2536.0,9121.0
1C,05,2024-10-01 08:00:00+00:00,5213.0,30463.0
1C,06,2024-10-01 08:00:00+00:00,4972.0,11463.0
1C,07,2024-10-01 08:00:00+00:00,,
1C,08,2024-10-01 08:00:00+00:00,11826.0,37952.0
1C,09,2024-10-01 08:00:00+00:00,,
1C,10,2024-10-01 08:00:00+00:00,6443.0,8054.0
1C,11,2024-10-01 08:00:00+00:00,,
1C,12,2024-10-01 08:00:00+00:00,1328.67,1133.2
1C,13,2024-10-01 08:00:00+00:00,5446.0,7785.0
1C,14,2024-10-01 08:00:00+00:00,12295.0,7190.0
1C,15,2024-10-01 08:00:00+00:00,6520.0,13419.0
1C,16,2024-10-01 08:00:00+00:00,6908.0,19392.0
1C,17,2024-10-01 08:00:00+00:00,,
1C,18,2024-10-01 08:00:00+00:00,2582.0,455.0
1C,19,2024-10-01 08:00:00+00:00,9625.0,20960.0
1C,COMMON_BESS,2024-10-01 08:00:00+00:00,32656.0,25861.0
1C,COMMON_EV,2024-10-01 08:00:00+00:00,,
1C,COMMON_SERVICES,2024-10-01 08:00:00+00:00,3050.0,0.0
1C,COMMON_SERVICES_DB1,2024-10-01 08:00:00+00:00,,
1C,COMMON_SERVICES_DB2,2024-10-01 08:00:00+00:00,,
2A,01,2024-10-01 08:00:00+00:00,,
2A,02,2024-10-01 08:00:00+00:00,3903.0,14159.0
2A,03,2024-10-01 08:00:00+00:00,,
2A,04,2024-10-01 08:00:00+00:00,,
2A,05,2024-10-01 08:00:00+00:00,6860.0,3654.0
2A,06,2024-10-01 08:00:00+00:00,,
2A,07,2024-10-01 08:00:00+00:00,,
2A,08,2024-10-01 08:00:00+00:00,,
2A,09,2024-10-01 08:00:00+00:00,,
2A,10,2024-10-01 08:00:00+00:00,,
2A,11,2024-10-01 08:00:00+00:00,,
2A,12,2024-10-01 08:00:00+00:00,6991.0,9012.0
2A,13,2024-10-01 08:00:00+00:00,3194.0,637.0
2A,14,2024-10-01 08:00:00+00:00,2480.0,1060.0
2A,15,2024-10-01 08:00:00+00:00,1108.0,2716.0
2A,16,2024-10-01 08:00:00+00:00,,
2A,17,2024-10-01 08:00:00+00:00,2233.0,504.0
2A,18,2024-10-01 08:00:00+00:00,2088.0,463.0
2A,19,2024-10-01 08:00:00+00:00,,
2A,20,2024-10-01 08:00:00+00:00,,
2A,21,2024-10-01 08:00:00+00:00,,
2A,22,2024-10-01 08:00:00+00:00,,
2A,23,2024-10-01 08:00:00+00:00,,
2A,COMMON_BESS,2024-10-01 08:00:00+00:00,1976.21,1663.5
2A,COMMON_EV,2024-10-01 08:00:00+00:00,,
2A,COMMON_SERVICES,2024-10-01 08:00:00+00:00,5965.29,0.0
2A,COMMON_SERVICES_DB1,2024-10-01 08:00:00+00:00,,
2A,COMMON_SERVICES_DB2,2024-10-01 08:00:00+00:00,,
2B,01,2024-10-01 08:00:00+00:00,1248.0,1644.0
2B,02,2024-10-01 08:00:00+00:00,3953.0,2999.0
2B,03,2024-10-01 08:00:00+00:00,2416.0,4282.0
2B,04,2024-10-01 08:00:00+00:00,,
2B,05,2024-10-01 08:00:00+00:00,4082.0,18524.0
2B,06,2024-10-01 08:00:00+00:00,2928.0,4796.0
2B,07,2024-10-01 08:00:00+00:00,3601.0,18068.0
2B,08,2024-10-01 08:00:00+00:00,5110.0,2083.0
2B,09,2024-10-01 08:00:00+00:00,5735.0,8168.0
2B,10,2024-10-01 08:00:00+00:00,4022.0,4881.0
2B,11,2024-10-01 08:00:00+00:00,,
2B,12,2024-10-01 08:00:00+00:00,,
