Cluster,Point,Reading Time,Import,Export
1A,01,2024-09-01 00:00:00+00:00,,
1A,02,2024-09-01 00:00:00+00:00,,
1A,03,2024-09-01 00:00:00+00:00,,
1A,04,2024-09-01 00:00:00+00:00,3785.0,5777.0
1A,05,2024-09-01 00:00:00+00:00,3175.0,9270.0
1A,06,2024-09-01 00:00:00+00:00,7389.0,13091.0
1A,07,2024-09-01 00:00:00+00:00,,
1A,08,2024-09-01 00:00:00+00:00,,
1A,09,2024-09-01 00:00:00+00:00,,
1A,10,2024-09-01 00:00:00+00:00,3424.0,17098.0
1A,11,2024-09-01 00:00:00+00:00,1119.0,18833.0
1A,12,2024-09-01 00:00:00+00:00,,
1A,13,2024-09-01 00:00:00+00:00,4779.0,34388.0
1A,14,2024-09-01 00:00:00+00:00,,
1A,15,2024-09-01 00:00:00+00:00,,
1A,16,2024-09-01 00:00:00+00:00,1839.0,4554.0
1A,17,2024-09-01 00:00:00+00:00,17878.0,8384.0
1A,18,2024-09-01 00:00:00+00:00,,
1A,19,2024-09-01 00:00:00+00:00,2924.0,36439.0
1A,20,2024-09-01 00:00:00+00:00,3263.0,7894.0
1A,21,2024-09-01 00:00:00+00:00,1550.0,9687.0
1A,22,2024-09-01 00:00:00+00:00,4746.0,8848.0
1A,23,2024-09-01 00:00:00+00:00,2932.0,10519.0
1A,24,2024-09-01 00:00:00+00:00,,
1A,COMMON_BESS,2024-09-01 00:00:00+00:00,38505.0,31509.0
1A,COMMON_EV,2024-09-01 00:00:00+00:00,0.0,2021.0
1A,COMMON_SERVICES,2024-09-01 00:00:00+00:00,4129.0,0.0
1A,COMMON_SERVICES_DB1,2024-09-01 00:00:00+00:00,,
1A,COMMON_SERVICES_DB2,2024-09-01 00:00:00+00:00,,
1B,01,2024-09-01 00:00:00+00:00,5762.0,7598.0
1B,02,2024-09-01 00:00:00+00:00,3838.0,5909.0
1B,03,2024-09-01 00:00:00+00:00,2052.0,1007.0
1B,04,2024-09-01 00:00:00+00:00,,
1B,05,2024-09-01 00:00:00+00:00,11790.0,10615.0
1B,06,2024-09-01 00:00:00+00:00,6016.0,6274.0
1B,07,2024-09-01 00:00:00+00:00,7384.0,7632.0
1B,08,2024-09-01 00:00:00+00:00,3798.0,4438.0
1B,09,2024-09-01 00:00:00+00:00,,
1B,10,2024-09-01 00:00:00+00:00,6280.0,15821.0
1B,11,2024-09-01 00:00:00+00:00,18285.0,9073.0
1B,12,2024-09-01 00:00:00+00:00,4866.0,16380.0
1B,13,2024-09-01 00:00:00+00:00,9572.0,16154.0
1B,14,2024-09-01 00:00:00+00:00,3591.0,2593.0
1B,15,2024-09-01 00:00:00+00:00,4604.0,7207.0
1B,16,2024-09-01 00:00:00+00:00,6618.0,7802.0
1B,17,2024-09-01 00:00:00+00:00,5165.0,14373.0
1B,18,2024-09-01 00:00:00+00:00,,
1B,19,2024-09-01 00:00:00+00:00,3412.0,7817.0
1B,20,2024-09-01 00:00:00+00:00,9697.0,32138.0
1B,21,2024-09-01 00:00:00+00:00,11429.0,30523.0
1B,COMMON_BESS,2024-09-01 00:00:00+00:00,43991.0,36326.0
1B,COMMON_EV,2024-09-01 00:00:00+00:00,2461.0,0.0
1B,COMMON_SERVICES,2024-09-01 00:00:00+00:00,5362.0,0.0
1B,COMMON_SERVICES_DB1,2024-09-01 00:00:00+00:00,,
1B,COMMON_SERVICES_DB2,2024-09-01 00:00:00+00:00,,
1C,01,2024-09-01 00:00:00+00:00,7588.0,29009.0
1C,02,2024-09-01 00:00:00+00:00,3476.0,12290.0
1C,03,2024-09-01 00:00:00+00:00,2807.0,13986.0
1C,04,2024-09-01 00:00:00+00:00,2354.0,8609.0
1C,05,2024-09-01 00:00:00+00:00,5100.0,29202.0
1C,06,2024-09-01 00:00:00+00:00,4699.0,10342.0
1C,07,2024-09-01 00:00:00+00:00,,
1C,08,2024-09-01 00:00:00+00:00,11400.0,36668.0
1C,09,2024-09-01 00:00:00+00:00,,
1C,10,2024-09-01 00:00:00+00:00,6332.0,7411.0
1C,11,2024-09-01 00:00:00+00:00,,
1C,12,2024-09-01 00:00:00+00:00,1026.57,522.32
1C,13,2024-09-01 00:00:00+00:00,,
1C,14,2024-09-01 00:00:00+00:00,12057.0,6685.0
1C,15,2024-09-01 00:00:00+00:00,6254.0,12308.0
1C,16,2024-09-01 00:00:00+00:00,6658.0,17842.0
1C,17,2024-09-01 00:00:00+00:00,,
1C,18,2024-09-01 00:00:00+00:00,2029.0,1.0
1C,19,2024-09-01 00:00:00+00:00,9211.0,19595.0
1C,COMMON_BESS,2024-09-01 00:00:00+00:00,28460.0,22429.0
1C,COMMON_EV,2024-09-01 00:00:00+00:00,,
1C,COMMON_SERVICES,2024-09-01 00:00:00+00:00,2922.0,0.0
1C,COMMON_SERVICES_DB1,2024-09-01 00:00:00+00:00,,
1C,COMMON_SERVICES_DB2,2024-09-01 00:00:00+00:00,,
2A,01,2024-09-01 00:00:00+00:00,,
2A,02,2024-09-01 00:00:00+00:00,3770.0,12922.0
2A,03,2024-09-01 00:00:00+00:00,,
2A,04,2024-09-01 00:00:00+00:00,,
2A,05,2024-09-01 00:00:00+00:00,6257.0,2665.0
2A,06,2024-09-01 00:00:00+00:00,,
2A,07,2024-09-01 00:00:00+00:00,,
2A,08,2024-09-01 00:00:00+00:00,,
2A,09,2024-09-01 00:00:00+00:00,,
2A,10,2024-09-01 00:00:00+00:00,,
2A,11,2024-09-01 00:00:00+00:00,,
2A,12,2024-09-01 00:00:00+00:00,6651.0,7526.0
2A,13,2024-09-01 00:00:00+00:00,3011.0,7.0
2A,14,2024-09-01 00:00:00+00:00,2380.0,300.0
2A,15,2024-09-01 00:00:00+00:00,967.0,1989.0
2A,16,2024-09-01 00:00:00+00:00,,
2A,17,2024-09-01 00:00:00+00:00,2032.0,0.0
2A,18,2024-09-01 00:00:00+00:00,1990.0,170.0
2A,19,2024-09-01 00:00:00+00:00,,
2A,20,2024-09-01 00:00:00+00:00,,
2A,21,2024-09-01 00:00:00+00:00,,
2A,22,2024-09-01 00:00:00+00:00,,
2A,23,2024-09-01 00:00:00+00:00,,
2A,COMMON_BESS,2024-09-01 00:00:00+00:00,,
2A,COMMON_EV,2024-09-01 00:00:00+00:00,,
2A,COMMON_SERVICES,2024-09-01 00:00:00+00:00,,
2A,COMMON_SERVICES_DB1,2024-09-01 00:00:00+00:00,,
2A,COMMON_SERVICES_DB2,2024-09-01 00:00:00+00:00,,
2B,01,2024-09-01 00:00:00+00:00,1142.0,545.0
2B,02,2024-09-01 00:00:00+00:00,3313.0,2166.0
2B,03,2024-09-01 00:00:00+00:00,2357.0,3636.0
2B,04,2024-09-01 00:00:00+00:00,,
2B,05,2024-09-01 00:00:00+00:00,3985.0,17380.0
2B,06,2024-09-01 00:00:00+00:00,2699.0,4110.0
2B,07,2024-09-01 00:00:00+00:00,3447.0,17377.0
2B,08,2024-09-01 00:00:00+00:00,4999.0,1377.0
2B,09,2024-09-01 00:00:00+00:00,5397.0,7025.0
2B,10,2024-09-01 00:00:00+00:00,3853.0,3731.0
2B,11,2024-09-01 00:00:00+00:00,,
2B,12,2024-09-01 00:00:00+00:00,,
2B,13,2024-09-01 00:00:00+00:00,,
2B,14,2024-09-01 00:00:00+00:00,,
2B,15,2024-09-01 00:00:00+00:00,,
2B,16,2024-09-01 00:00:00+00:00,2272.0,17495.0
2B,17,2024-09-01 00:00:00+00:00,2107.0,1.0
2B,18,2024-09-01 00:00:00+00:00,,
2B,19,2024-09-01 00:00:00+00:00,,
2B,20,2024-09-01 00:00:00+00:00,,
2B,21,2024-09-01 00:00:00+00:00,7775.0,15126.0
2B,22,2024-09-01 00:00:00+00:00,,
2B,COMMON_BESS,2024-09-01 00:00:00+00:00,,
2B,COMMON_EV,2024-09-01 00:00:00+00:00,,
2B,COMMON_SERVICES,2024-09-01 00:00:00+00:00,9609.45,0.0
2B,COMMON_SERVICES_DB1,2024-09-01 00:00:00+00:00,,
2B,COMMON_SERVICES_DB2,2024-09-01 00:00:00+00:00,,
3A,01,2024-09-01 00:00:00+00:00,,
3A,02,2024-09-01 00:00:00+00:00,,
3A,03,2024-09-01 00:00:00+00:00,,
3A,04,2024-09-01 00:00:00+00:00,2491.0,5805.0
