Cluster,Point,Reading Time,Import,Export
2A,13,2024-08-01 08:33:00+00:00,2744.0,7.0
2A,14,2024-08-01 08:33:00+00:00,1956.0,1.0
2A,15,2024-08-01 08:33:00+00:00,745.0,1547.0
2A,16,2024-08-01 08:33:00+00:00,,
2A,17,2024-08-01 08:33:00+00:00,1924.0,0.0
2A,18,2024-08-01 08:33:00+00:00,1838.0,0.0
2A,19,2024-08-01 08:33:00+00:00,,
2A,20,2024-08-01 08:33:00+00:00,,
2A,21,2024-08-01 08:33:00+00:00,,
2A,22,2024-08-01 08:33:00+00:00,,
2A,23,2024-08-01 08:33:00+00:00,,
2A,COMMON_BESS,2024-08-01 08:33:00+00:00,,
2A,COMMON_EV,2024-08-01 08:33:00+00:00,,
2A,COMMON_SERVICES,2024-08-01 08:33:00+00:00,,
2A,COMMON_SERVICES_DB1,2024-08-01 08:33:00+00:00,,
2A,COMMON_SERVICES_DB2,2024-08-01 08:33:00+00:00,,
2B,01,2024-08-01 08:33:00+00:00,,
2B,02,2024-08-01 08:33:00+00:00,2537.0,1688.0
2B,03,2024-08-01 08:33:00+00:00,2282.0,3265.0
2B,04,2024-08-01 08:33:00+00:00,,
2B,05,2024-08-01 08:33:00+00:00,,
2B,06,2024-08-01 08:33:00+00:00,2447.0,3654.0
2B,07,2024-08-01 08:33:00+00:00,3333.0,16912.0
2B,08,2024-08-01 08:33:00+00:00,4909.0,909.0
2B,09,2024-08-01 08:33:00+00:00,4884.0,6334.0
2B,10,2024-08-01 08:33:00+00:00,3619.0,3057.0
2B,11,2024-08-01 08:33:00+00:00,,
2B,12,2024-08-01 08:33:00+00:00,,
2B,13,2024-08-01 08:33:00+00:00,,
2B,14,2024-08-01 08:33:00+00:00,,
2B,15,2024-08-01 08:33:00+00:00,,
2B,16,2024-08-01 08:33:00+00:00,2175.0,17042.0
2B,17,2024-08-01 08:33:00+00:00,1685.0,1.0
2B,18,2024-08-01 08:33:00+00:00,,
2B,19,2024-08-01 08:33:00+00:00,,
2B,20,2024-08-01 08:33:00+00:00,,
2B,21,2024-08-01 08:33:00+00:00,7458.0,14184.0
2B,22,2024-08-01 08:33:00+00:00,,
2B,COMMON_BESS,2024-08-01 08:33:00+00:00,,
2B,COMMON_EV,2024-08-01 08:33:00+00:00,,
2B,COMMON_SERVICES,2024-08-01 08:33:00+00:00,9508.19,0.0
2B,COMMON_SERVICES_DB1,2024-08-01 08:33:00+00:00,,
2B,COMMON_SERVICES_DB2,2024-08-01 08:33:00+00:00,,
3A,01,2024-08-01 08:33:00+00:00,,
3A,02,2024-08-01 08:33:00+00:00,,
3A,03,2024-08-01 08:33:00+00:00,,
3A,04,2024-08-01 08:33:00+00:00,2312.0,5293.0
3A,05,2024-08-01 08:33:00+00:00,,
3A,06,2024-08-01 08:33:00+00:00,,
3A,07,2024-08-01 08:33:00+00:00,2223.0,5445.0
3A,08,2024-08-01 08:33:00+00:00,,
3A,09,2024-08-01 08:33:00+00:00,,
3A,10,2024-08-01 08:33:00+00:00,,
3A,11,2024-08-01 08:33:00+00:00,,
3A,12,2024-08-01 08:33:00+00:00,,
3A,13,2024-08-01 08:33:00+00:00,,
3A,14,2024-08-01 08:33:00+00:00,,
3A,15,2024-08-01 08:33:00+00:00,,
3A,16,2024-08-01 08:33:00+00:00,,
3A,17,2024-08-01 08:33:00+00:00,,
3A,18,2024-08-01 08:33:00+00:00,,
3A,19,2024-08-01 08:33:00+00:00,1672.0,4866.0
3A,20,2024-08-01 08:33:00+00:00,,
3A,21,2024-08-01 08:33:00+00:00,,
3A,22,2024-08-01 08:33:00+00:00,,
3A,23,2024-08-01 08:33:00+00:00,,
3A,24,2024-08-01 08:33:00+00:00,2226.0,3294.0
