Start,kWh_E,kVAr,kVA,kWh_B,Nett_Export_MHSP
"01-Mar-2025 00:00:00",631.800,32.000,632.610,0.000,-631.800
"01-Mar-2025 00:30:00",624.800,30.800,625.559,0.000,-624.800
"01-Mar-2025 01:00:00",595.400,27.200,596.021,0.000,-595.400
"01-Mar-2025 01:30:00",575.200,25.400,575.761,0.000,-575.200
"01-Mar-2025 02:00:00",559.800,24.000,560.314,0.000,-559.800
"01-Mar-2025 02:30:00",550.200,22.200,550.648,0.000,-550.200
"01-Mar-2025 03:00:00",542.800,24.200,543.339,0.000,-542.800
"01-Mar-2025 03:30:00",541.400,24.200,541.941,0.000,-541.400
"01-Mar-2025 04:00:00",545.200,24.000,545.728,0.000,-545.200
"01-Mar-2025 04:30:00",601.000,27.200,601.615,0.000,-601.000
"01-Mar-2025 05:00:00",580.200,30.000,580.975,0.000,-580.200
"01-Mar-2025 05:30:00",606.800,30.600,607.571,0.000,-606.800
"01-Mar-2025 06:00:00",608.800,35.800,609.852,0.000,-608.800
"01-Mar-2025 06:30:00",642.200,43.400,643.665,0.000,-642.200
"01-Mar-2025 07:00:00",638.400,42.400,639.806,0.000,-638.400
"01-Mar-2025 07:30:00",668.200,43.400,669.608,0.000,-668.200
"01-Mar-2025 08:00:00",684.600,46.400,686.171,0.000,-684.600
"01-Mar-2025 08:30:00",696.800,42.000,698.065,0.000,-696.800
"01-Mar-2025 09:00:00",722.200,45.600,723.638,0.000,-722.200
"01-Mar-2025 09:30:00",734.600,49.400,736.259,0.000,-734.600
"01-Mar-2025 10:00:00",739.800,55.200,741.857,0.000,-739.800
"01-Mar-2025 10:30:00",735.000,51.600,736.809,0.000,-735.000
"01-Mar-2025 11:00:00",809.200,56.600,811.177,0.000,-809.200
"01-Mar-2025 11:30:00",874.800,28.800,875.274,0.000,-874.800
"01-Mar-2025 12:00:00",855.400,21.600,855.673,0.000,-855.400
"01-Mar-2025 12:30:00",827.600,15.600,827.747,0.000,-827.600
"01-Mar-2025 13:00:00",840.200,9.400,840.253,0.000,-840.200
"01-Mar-2025 13:30:00",833.800,7.000,833.829,0.000,-833.800
"01-Mar-2025 14:00:00",863.200,21.800,863.475,0.000,-863.200
"01-Mar-2025 14:30:00",881.000,27.600,881.432,0.000,-881.000
