Start,kWh_E,kVAr,kVA,kWh_B,Nett_Export_MHSP
"01-Mar-2025 00:00:00",154.680,39.570,159.661,0.000,-154.680
"01-Mar-2025 00:30:00",151.620,39.750,156.744,0.000,-151.620
"01-Mar-2025 01:00:00",149.370,39.360,154.469,0.000,-149.370
"01-Mar-2025 01:30:00",148.080,39.930,153.369,0.000,-148.080
"01-Mar-2025 02:00:00",147.570,38.550,152.522,0.000,-147.570
"01-Mar-2025 02:30:00",146.910,38.400,151.846,0.000,-146.910
"01-Mar-2025 03:00:00",145.650,37.980,150.520,0.000,-145.650
"01-Mar-2025 03:30:00",141.420,36.750,146.117,0.000,-141.420
"01-Mar-2025 04:00:00",145.830,41.550,151.634,0.000,-145.830
"01-Mar-2025 04:30:00",146.010,40.560,151.539,0.000,-146.010
"01-Mar-2025 05:00:00",148.860,41.490,154.534,0.000,-148.860
"01-Mar-2025 05:30:00",161.130,41.670,166.431,0.000,-161.130
"01-Mar-2025 06:00:00",173.640,41.100,178.438,0.000,-173.640
"01-Mar-2025 06:30:00",176.580,44.310,182.055,0.000,-176.580
"01-Mar-2025 07:00:00",184.740,48.090,190.897,0.000,-184.740
"01-Mar-2025 07:30:00",186.000,49.530,192.482,0.000,-186.000
"01-Mar-2025 08:00:00",197.100,50.910,203.569,0.000,-197.100
"01-Mar-2025 08:30:00",201.510,50.160,207.659,0.000,-201.510
"01-Mar-2025 09:00:00",211.380,50.880,217.417,0.000,-211.380
"01-Mar-2025 09:30:00",223.500,53.640,229.847,0.000,-223.500
"01-Mar-2025 10:00:00",219.420,53.610,225.874,0.000,-219.420
"01-Mar-2025 10:30:00",220.290,55.170,227.093,0.000,-220.290
"01-Mar-2025 11:00:00",222.780,56.160,229.750,0.000,-222.780
"01-Mar-2025 11:30:00",229.200,57.540,236.312,0.000,-229.200
"01-Mar-2025 12:00:00",259.320,61.890,266.603,0.000,-259.320
"01-Mar-2025 12:30:00",260.490,63.600,268.142,0.000,-260.490
"01-Mar-2025 13:00:00",274.020,69.000,282.574,0.000,-274.020
"01-Mar-2025 13:30:00",280.080,68.880,288.425,0.000,-280.080
"01-Mar-2025 14:00:00",254.130,63.690,261.989,0.000,-254.130
"01-Mar-2025 14:30:00",270.630,67.140,278.834,0.000,-270.630
"01-Mar-2025 15:00:00",263.100,64.830,270.970,0.000,-263.100
"01-Mar-2025 15:30:00",257.310,64.170,265.191,0.000,-257.310
"01-Mar-2025 16:00:00",255.240,62.400,262.757,0.000,-255.240
"01-Mar-2025 16:30:00",248.070,59.430,255.089,0.000,-248.070
"01-Mar-2025 17:00:00",247.770,60.870,255.137,0.000,-247.770
"01-Mar-2025 17:30:00",246.570,59.430,253.631,0.000,-246.570
"01-Mar-2025 18:00:00",225.240,53.040,231.401,0.000,-225.240
"01-Mar-2025 18:30:00",222.210,52.170,228.252,0.000,-222.210
"01-Mar-2025 19:00:00",211.230,51.240,217.356,0.000,-211.230
"01-Mar-2025 19:30:00",213.270,51.210,219.332,0.000,-213.270
"01-Mar-2025 20:00:00",195.270,49.380,201.417,0.000,-195.270
"01-Mar-2025 20:30:00",183.900,47.940,190.046,0.000,-183.900
"01-Mar-2025 21:00:00",175.380,45.030,181.069,0.000,-175.380
"01-Mar-2025 21:30:00",181.290,46.560,187.173,0.000,-181.290
"01-Mar-2025 22:00:00",172.890,43.860,178.367,0.000,-172.890
"01-Mar-2025 22:30:00",164.520,42.450,169.908,0.000,-164.520
"01-Mar-2025 23:00:00",162.300,43.260,167.966,0.000,-162.300
"01-Mar-2025 23:30:00",160.980,43.530,166.762,0.000,-160.980
"02-Mar-2025 00:00:00",156.660,41.700,162.115,0.000,-156.660
"02-Mar-2025 00:30:00",154.800,42.780,160.603,0.000,-154.800
"02-Mar-2025 01:00:00",153.900,42.390,159.631,0.000,-153.900
"02-Mar-2025 01:30:00",154.320,42.660,160.108,0.000,-154.320
"02-Mar-2025 02:00:00",153.330,41.820,158.931,0.000,-153.330
"02-Mar-2025 02:30:00",151.410,39.690,156.526,0.000,-151.410
"02-Mar-2025 03:00:00",149.520,38.700,154.447,0.000,-149.520
"02-Mar-2025 03:30:00",149.550,40.110,154.835,0.000,-149.550
"02-Mar-2025 04:00:00",151.740,42.810,157.663,0.000,-151.740
"02-Mar-2025 04:30:00",151.170,42.930,157.148,0.000,-151.170
"02-Mar-2025 05:00:00",152.790,42.570,158.610,0.000,-152.790
"02-Mar-2025 05:30:00",156.960,43.080,162.765,0.000,-156.960
"02-Mar-2025 06:00:00",184.200,43.170,189.191,0.000,-184.200
"02-Mar-2025 06:30:00",190.620,48.450,196.681,0.000,-190.620
"02-Mar-2025 07:00:00",182.700,48.570,189.046,0.000,-182.700
"02-Mar-2025 07:30:00",191.910,51.660,198.742,0.000,-191.910
"02-Mar-2025 08:00:00",203.250,50.040,209.319,0.000,-203.250
"02-Mar-2025 08:30:00",207.150,50.820,213.293,0.000,-207.150
"02-Mar-2025 09:00:00",211.380,51.780,217.630,0.000,-211.380
"02-Mar-2025 09:30:00",224.640,55.350,231.358,0.000,-224.640
"02-Mar-2025 10:00:00",236.340,59.550,243.727,0.000,-236.340
"02-Mar-2025 10:30:00",238.950,58.860,246.093,0.000,-238.950
"02-Mar-2025 11:00:00",269.430,66.930,277.619,0.000,-269.430
"02-Mar-2025 11:30:00",263.640,66.510,271.900,0.000,-263.640
"02-Mar-2025 12:00:00",291.360,68.310,299.261,0.000,-291.360
"02-Mar-2025 12:30:00",261.600,63.450,269.185,0.000,-261.600
"02-Mar-2025 13:00:00",325.320,77.190,334.352,0.000,-325.320
"02-Mar-2025 13:30:00",291.510,70.890,300.006,0.000,-291.510
"02-Mar-2025 14:00:00",320.460,78.300,329.887,0.000,-320.460
"02-Mar-2025 14:30:00",314.430,74.820,323.209,0.000,-314.430
"02-Mar-2025 15:00:00",279.750,68.520,288.019,0.000,-279.750
"02-Mar-2025 15:30:00",308.160,74.910,317.134,0.000,-308.160
"02-Mar-2025 16:00:00",296.250,68.880,304.152,0.000,-296.250
"02-Mar-2025 16:30:00",268.830,64.350,276.424,0.000,-268.830
"02-Mar-2025 17:00:00",281.790,67.350,289.727,0.000,-281.790
"02-Mar-2025 17:30:00",263.070,63.300,270.578,0.000,-263.070
"02-Mar-2025 18:00:00",256.860,58.140,263.358,0.000,-256.860
"02-Mar-2025 18:30:00",236.580,56.520,243.238,0.000,-236.580
"02-Mar-2025 19:00:00",222.390,51.780,228.339,0.000,-222.390
"02-Mar-2025 19:30:00",204.480,49.770,210.450,0.000,-204.480
"02-Mar-2025 20:00:00",201.300,50.160,207.455,0.000,-201.300
"02-Mar-2025 20:30:00",197.970,49.200,203.992,0.000,-197.970
"02-Mar-2025 21:00:00",194.700,49.020,200.776,0.000,-194.700
"02-Mar-2025 21:30:00",189.240,47.910,195.211,0.000,-189.240
"02-Mar-2025 22:00:00",172.920,43.740,178.366,0.000,-172.920
"02-Mar-2025 22:30:00",174.300,44.700,179.940,0.000,-174.300
"02-Mar-2025 23:00:00",170.130,44.700,175.904,0.000,-170.130
"02-Mar-2025 23:30:00",168.570,44.040,174.228,0.000,-168.570
"03-Mar-2025 00:00:00",169.860,43.500,175.342,0.000,-169.860
"03-Mar-2025 00:30:00",171.270,44.760,177.022,0.000,-171.270
"03-Mar-2025 01:00:00",169.290,44.640,175.077,0.000,-169.290
"03-Mar-2025 01:30:00",170.790,45.810,176.827,0.000,-170.790
"03-Mar-2025 02:00:00",169.140,46.020,175.289,0.000,-169.140
"03-Mar-2025 02:30:00",166.440,45.810,172.629,0.000,-166.440
"03-Mar-2025 03:00:00",165.000,45.270,171.098,0.000,-165.000
"03-Mar-2025 03:30:00",164.100,45.150,170.198,0.000,-164.100
"03-Mar-2025 04:00:00",174.870,49.800,181.823,0.000,-174.870
"03-Mar-2025 04:30:00",173.790,48.690,180.482,0.000,-173.790
"03-Mar-2025 05:00:00",203.520,60.360,212.282,0.000,-203.520
"03-Mar-2025 05:30:00",219.750,60.630,227.961,0.000,-219.750
"03-Mar-2025 06:00:00",257.640,69.060,266.735,0.000,-257.640
"03-Mar-2025 06:30:00",267.150,71.970,276.675,0.000,-267.150
"03-Mar-2025 07:00:00",251.370,69.570,260.820,0.000,-251.370
"03-Mar-2025 07:30:00",253.800,68.460,262.871,0.000,-253.800
"03-Mar-2025 08:00:00",262.320,67.950,270.978,0.000,-262.320
"03-Mar-2025 08:30:00",270.930,69.810,279.779,0.000,-270.930
"03-Mar-2025 09:00:00",281.910,72.000,290.959,0.000,-281.910
"03-Mar-2025 09:30:00",299.430,74.580,308.578,0.000,-299.430
"03-Mar-2025 10:00:00",288.150,73.590,297.399,0.000,-288.150
"03-Mar-2025 10:30:00",289.230,75.930,299.031,0.000,-289.230
"03-Mar-2025 11:00:00",288.600,76.170,298.483,0.000,-288.600
"03-Mar-2025 11:30:00",294.900,78.870,305.265,0.000,-294.900
"03-Mar-2025 12:00:00",302.880,77.460,312.628,0.000,-302.880
"03-Mar-2025 12:30:00",305.340,76.320,314.734,0.000,-305.340
"03-Mar-2025 13:00:00",314.760,80.490,324.888,0.000,-314.760
"03-Mar-2025 13:30:00",297.540,78.030,307.602,0.000,-297.540
"03-Mar-2025 14:00:00",293.070,76.950,303.004,0.000,-293.070
"03-Mar-2025 14:30:00",293.100,77.220,303.102,0.000,-293.100
"03-Mar-2025 15:00:00",287.970,75.600,297.728,0.000,-287.970
"03-Mar-2025 15:30:00",289.230,75.000,298.796,0.000,-289.230
"03-Mar-2025 16:00:00",264.120,70.080,273.259,0.000,-264.120
"03-Mar-2025 16:30:00",276.630,75.180,286.664,0.000,-276.630
"03-Mar-2025 17:00:00",273.870,73.650,283.600,0.000,-273.870
"03-Mar-2025 17:30:00",250.410,68.520,259.615,0.000,-250.410
"03-Mar-2025 18:00:00",238.950,59.220,246.179,0.000,-238.950
"03-Mar-2025 18:30:00",225.660,57.450,232.858,0.000,-225.660
"03-Mar-2025 19:00:00",218.640,53.790,225.160,0.000,-218.640
"03-Mar-2025 19:30:00",215.550,54.270,222.277,0.000,-215.550
"03-Mar-2025 20:00:00",195.330,50.580,201.773,0.000,-195.330
"03-Mar-2025 20:30:00",195.690,53.190,202.790,0.000,-195.690
"03-Mar-2025 21:00:00",174.840,46.590,180.941,0.000,-174.840
"03-Mar-2025 21:30:00",174.810,46.830,180.974,0.000,-174.810
"03-Mar-2025 22:00:00",159.450,41.160,164.677,0.000,-159.450
"03-Mar-2025 22:30:00",155.310,40.680,160.549,0.000,-155.310
"03-Mar-2025 23:00:00",156.270,39.750,161.246,0.000,-156.270
"03-Mar-2025 23:30:00",156.960,40.260,162.041,0.000,-156.960
"04-Mar-2025 00:00:00",155.820,39.600,160.773,0.000,-155.820
"04-Mar-2025 00:30:00",157.170,40.770,162.372,0.000,-157.170
"04-Mar-2025 01:00:00",158.040,41.100,163.297,0.000,-158.040
"04-Mar-2025 01:30:00",157.740,42.270,163.305,0.000,-157.740
"04-Mar-2025 02:00:00",154.740,41.760,160.276,0.000,-154.740
"04-Mar-2025 02:30:00",153.540,41.280,158.992,0.000,-153.540
"04-Mar-2025 03:00:00",155.250,40.980,160.568,0.000,-155.250
"04-Mar-2025 03:30:00",156.210,41.940,161.742,0.000,-156.210
"04-Mar-2025 04:00:00",161.910,45.000,168.047,0.000,-161.910
"04-Mar-2025 04:30:00",160.410,44.280,166.409,0.000,-160.410
"04-Mar-2025 05:00:00",171.810,51.450,179.348,0.000,-171.810
"04-Mar-2025 05:30:00",185.190,51.810,192.301,0.000,-185.190
"04-Mar-2025 06:00:00",219.330,56.940,226.601,0.000,-219.330
"04-Mar-2025 06:30:00",231.930,60.480,239.686,0.000,-231.930
"04-Mar-2025 07:00:00",236.220,64.650,244.907,0.000,-236.220
"04-Mar-2025 07:30:00",258.930,69.510,268.098,0.000,-258.930
"04-Mar-2025 08:00:00",280.830,70.800,289.617,0.000,-280.830
"04-Mar-2025 08:30:00",289.260,71.130,297.877,0.000,-289.260
"04-Mar-2025 09:00:00",302.400,72.600,310.993,0.000,-302.400
"04-Mar-2025 09:30:00",316.530,71.850,324.582,0.000,-316.530
"04-Mar-2025 10:00:00",309.330,72.510,317.715,0.000,-309.330
"04-Mar-2025 10:30:00",323.610,76.470,332.522,0.000,-323.610
"04-Mar-2025 11:00:00",306.570,74.130,315.405,0.000,-306.570
"04-Mar-2025 11:30:00",309.420,76.290,318.686,0.000,-309.420
"04-Mar-2025 12:00:00",313.410,74.220,322.078,0.000,-313.410
"04-Mar-2025 12:30:00",324.960,75.810,333.686,0.000,-324.960
"04-Mar-2025 13:00:00",343.590,80.430,352.878,0.000,-343.590
"04-Mar-2025 13:30:00",350.010,81.150,359.294,0.000,-350.010
"04-Mar-2025 14:00:00",345.420,80.670,354.715,0.000,-345.420
"04-Mar-2025 14:30:00",341.340,82.260,351.112,0.000,-341.340
"04-Mar-2025 15:00:00",331.680,78.090,340.749,0.000,-331.680
"04-Mar-2025 15:30:00",319.770,76.740,328.849,0.000,-319.770
"04-Mar-2025 16:00:00",309.570,73.740,318.231,0.000,-309.570
"04-Mar-2025 16:30:00",309.480,72.960,317.964,0.000,-309.480
"04-Mar-2025 17:00:00",297.030,72.210,305.681,0.000,-297.030
"04-Mar-2025 17:30:00",287.850,71.280,296.544,0.000,-287.850
"04-Mar-2025 18:00:00",273.990,66.390,281.919,0.000,-273.990
"04-Mar-2025 18:30:00",265.470,65.250,273.371,0.000,-265.470
"04-Mar-2025 19:00:00",243.690,61.680,251.375,0.000,-243.690
"04-Mar-2025 19:30:00",232.470,57.420,239.456,0.000,-232.470
"04-Mar-2025 20:00:00",218.070,56.190,225.193,0.000,-218.070
"04-Mar-2025 20:30:00",202.620,54.870,209.918,0.000,-202.620
"04-Mar-2025 21:00:00",185.550,49.440,192.024,0.000,-185.550
"04-Mar-2025 21:30:00",179.310,48.930,185.866,0.000,-179.310
"04-Mar-2025 22:00:00",168.600,43.980,174.242,0.000,-168.600
