Name,Supplier,Fuel,Account,Bill Date,Due Date,Consumer,NMI,Site Address,From Date,To Date,Charge Group,Charge Description,Unit Of Measure,Charge Rate,DLF,TLF,Uplifted Rate,Quantity,Net Charge ($),GST ($),Total Charge ($),Information Only
St John of God Health Care Inc,ALINTA ENERGY,ELEC,80018049,2/4/2025,2/5/2025,89010306,80010008763,"BUSSELL HWY, BUNBURY WA",1/3/2025,31/03/2025,Market,Ancillary Charge,KWH,0.01238,1.0173,1.0021,0.012621,952671,"12,023.31","1,202.33","13,225.64",N
St John of God Health Care Inc,ALINTA ENERGY,ELEC,80018049,2/4/2025,2/5/2025,89010306,80010008763,"BUSSELL HWY, BUNBURY WA",1/3/2025,31/03/2025,Market,Market Fee,KWH,0.002938,1.0173,1.0021,0.002995,952671,"2,853.35",285.34,"3,138.69",N
St John of God Health Care Inc,ALINTA ENERGY,ELEC,80018049,2/4/2025,2/5/2025,89010306,80010008763,"BUSSELL HWY, BUNBURY WA",1/3/2025,31/03/2025,Energy,Off Peak Energy,KWH,0.0876,1.0173,1.0021,0.089303,469078,"41,889.88","4,188.99","46,078.87",N
St John of God Health Care Inc,ALINTA ENERGY,ELEC,80018049,2/4/2025,2/5/2025,89010306,80010008763,"BUSSELL HWY, BUNBURY WA",1/3/2025,31/03/2025,Energy,Peak Energy,KWH,0.0935,1.0173,1.0021,0.095317,483593,"46,094.75","4,609.48","50,704.23",N
St John of God Health Care Inc,ALINTA ENERGY,ELEC,80018049,2/4/2025,2/5/2025,89010306,80010008763,"BUSSELL HWY, BUNBURY WA",1/3/2025,31/03/2025,Network Other,Metering Service Charge M13,DAYS,0.17633,,,0.17633,31,5.47,0.55,6.02,N
St John of God Health Care Inc,ALINTA ENERGY,ELEC,80018049,2/4/2025,2/5/2025,89010306,80010008763,"BUSSELL HWY, BUNBURY WA",1/3/2025,31/03/2025,Network Transmission,Fixed Demand Charge,DAYS,246.56404,,,246.56404,31,"7,643.49",764.35,"8,407.84",N
St John of God Health Care Inc,ALINTA ENERGY,ELEC,80018049,2/4/2025,2/5/2025,89010306,80010008763,"BUSSELL HWY, BUNBURY WA",1/3/2025,31/03/2025,Network Distribution,Fixed Demand Charge,DAYS,350.94829,,,350.94829,31,"10,879.40","1,087.94","11,967.34",N
St John of God Health Care Inc,ALINTA ENERGY,ELEC,80018049,2/4/2025,2/5/2025,89010306,80010008763,"BUSSELL HWY, BUNBURY WA",1/3/2025,31/03/2025,Network Transmission,Variable Demand Charge <7k kVA,KVA,0.2016,,,0.2016,42625,"8,593.20",859.32,"9,452.52",N
St John of God Health Care Inc,ALINTA ENERGY,ELEC,80018049,2/4/2025,2/5/2025,89010306,80010008763,"BUSSELL HWY, BUNBURY WA",1/3/2025,31/03/2025,Network Transmission,Variable Demand Charge >7k kVA,KVA,0.20782,,,0.20782,0,0,0,0,N
St John of God Health Care Inc,ALINTA ENERGY,ELEC,80018049,2/4/2025,2/5/2025,89010306,80010008763,"BUSSELL HWY, BUNBURY WA",1/3/2025,31/03/2025,Network Distribution,Variable Demand Charge <7k kVA,KVA,0.14215,,,0.14215,42625,"6,059.14",605.91,"6,665.05",N
St John of God Health Care Inc,ALINTA ENERGY,ELEC,80018049,2/4/2025,2/5/2025,89010306,80010008763,"BUSSELL HWY, BUNBURY WA",1/3/2025,31/03/2025,Network Distribution,Administration Charge (<7k kVA rate),DAYS,60.7022,,,60.7022,31,"1,881.77",188.18,"2,069.95",N
St John of God Health Care Inc,ALINTA ENERGY,ELEC,80018049,2/4/2025,2/5/2025,89010306,80010008763,"BUSSELL HWY, BUNBURY WA",1/3/2025,31/03/2025,Network Distribution,Demand Length Charge <10km,KVA,0.00913,,,0.00913,239169,"2,183.61",218.36,"2,401.97",N
St John of God Health Care Inc,ALINTA ENERGY,ELEC,80018049,2/4/2025,2/5/2025,89010306,80010008763,"BUSSELL HWY, BUNBURY WA",1/3/2025,31/03/2025,Network Distribution,Demand Length Charge >= 10km,KVA,0.00631,,,0.00631,0,0,0,0,N
St John of God Health Care Inc,ALINTA ENERGY,ELEC,80018049,2/4/2025,2/5/2025,89010306,80010008763,"BUSSELL HWY, BUNBURY WA",1/3/2025,31/03/2025,Network Other,Metering Fixed Charge,DAYS,0.17195,,,0.17195,31,5.33,0.53,5.86,N
St John of God Health Care Inc,ALINTA ENERGY,ELEC,80018049,2/4/2025,2/5/2025,89010306,80010008763,"BUSSELL HWY, BUNBURY WA",1/3/2025,31/03/2025,Other,Retail Service Charge,DAYS,1.99,,,1.99,31,61.69,6.17,67.86,N
St John of God Health Care Inc,ALINTA ENERGY,ELEC,80018049,2/4/2025,2/5/2025,89010306,80010008763,"BUSSELL HWY, BUNBURY WA",1/3/2025,31/03/2025,Market,Capacity Charge,,,,,,,"32,923.82","3,292.38","36,216.20",N
St John of God Health Care Inc,ALINTA ENERGY,ELEC,80018049,2/4/2025,2/5/2025,89010306,80010008763,"BUSSELL HWY, BUNBURY WA",1/3/2025,31/03/2025,Network Transmission,Excess Network Usage Charge,KVA,1,,,1,2192,"2,192.00",219.2,"2,411.20",N
St John of God Health Care Inc,ALINTA ENERGY,ELEC,80018049,2/4/2025,2/5/2025,89010306,80010008763,"BUSSELL HWY, BUNBURY WA",1/3/2025,31/03/2025,Network Distribution,Excess Network Usage Charge,KVA,1,,,1,2582,"2,582.00",258.2,"2,840.20",N
St John of God Health Care Inc,ALINTA ENERGY,,80018050,7/4/2025,7/5/2025,,,,,,Interest,Interest Charges 11.68% 6 days,,,,,,,0.49,,0.49,N
St John of God Health Care Inc,ALINTA ENERGY,,80018050,7/4/2025,7/5/2025,,,,,,Interest,Interest Charges 11.68% 26 days,,,,,,,63.87,0,63.87,N
St John of God Health Care Inc,ALINTA ENERGY,,80018050,7/4/2025,7/5/2025,,,,,,Elect Adj Credit - Retail,Adjustment STC Binding CY25 STP 13.89% - Jan 25 & Feb 25,,,,,,,"-6,607.52",0,"-6,607.52",N
St John of God Health Care Inc,ALINTA ENERGY,,80018050,7/4/2025,7/5/2025,,,,,,Elect Adj Credit - Retail,Adjustment LGC Binding CY25 RPP 17.91% - Jan 25 & Feb 25,,,,,,,-815.4,0,-815.4,N
St John of God Health Care Inc,ALINTA ENERGY,,80018050,7/4/2025,7/5/2025,,,,,,Cash Payment,Payment received 532836 14/03/2025,,,,,,,"-211,264.20",0,"-211,264.20",N
St John of God Health Care Inc,ALINTA ENERGY,ELEC,80018050,7/4/2025,7/5/2025,89010307,80022144973,"Unit 1A/1 CLAYTON ST, MIDLAND WA",1/3/2025,31/03/2025,Environmental,STC Charge,KWH,0.005556,1.0103,1.0146,0.005695,1135035,"6,464.23",646.42,"7,110.65",N
St John of God Health Care Inc,ALINTA ENERGY,ELEC,80018050,7/4/2025,7/5/2025,89010307,80022144973,"Unit 1A/1 CLAYTON ST, MIDLAND WA",1/3/2025,31/03/2025,Environmental,LGC Charge,KWH,0.008239,1.0103,1.0146,0.008445,1135035,"9,585.81",958.58,"10,544.39",N
St John of God Health Care Inc,ALINTA ENERGY,ELEC,80018050,7/4/2025,7/5/2025,89010307,80022144973,"Unit 1A/1 CLAYTON ST, MIDLAND WA",1/3/2025,31/03/2025,Market,Ancillary Charge,KWH,0.01238,1.0103,1.0146,0.01269,1135035,"14,403.73","1,440.37","15,844.10",N
St John of God Health Care Inc,ALINTA ENERGY,ELEC,80018050,7/4/2025,7/5/2025,89010307,80022144973,"Unit 1A/1 CLAYTON ST, MIDLAND WA",1/3/2025,31/03/2025,Market,Market Fee,KWH,0.002938,1.0103,1.0146,0.003012,1135035,"3,418.27",341.83,"3,760.10",N
St John of God Health Care Inc,ALINTA ENERGY,ELEC,80018050,7/4/2025,7/5/2025,89010307,80022144973,"Unit 1A/1 CLAYTON ST, MIDLAND WA",1/3/2025,31/03/2025,Energy,Off Peak Energy,KWH,0.0876,1.0103,1.0146,0.089794,612814,"55,027.25","5,502.72","60,529.97",N
St John of God Health Care Inc,ALINTA ENERGY,ELEC,80018050,7/4/2025,7/5/2025,89010307,80022144973,"Unit 1A/1 CLAYTON ST, MIDLAND WA",1/3/2025,31/03/2025,Energy,Peak Energy,KWH,0.0935,1.0103,1.0146,0.095842,522221,"50,050.83","5,005.08","55,055.91",N
St John of God Health Care Inc,ALINTA ENERGY,ELEC,80018050,7/4/2025,7/5/2025,89010307,80022144973,"Unit 1A/1 CLAYTON ST, MIDLAND WA",1/3/2025,31/03/2025,Network Other,Metering Service Charge M13,DAYS,0.17633,,,0.17633,31,5.47,0.55,6.02,N
St John of God Health Care Inc,ALINTA ENERGY,ELEC,80018050,7/4/2025,7/5/2025,89010307,80022144973,"Unit 1A/1 CLAYTON ST, MIDLAND WA",1/3/2025,31/03/2025,Network Transmission,Fixed Demand Charge,DAYS,246.56404,,,246.56404,31,"7,643.49",764.35,"8,407.84",N
St John of God Health Care Inc,ALINTA ENERGY,ELEC,80018050,7/4/2025,7/5/2025,89010307,80022144973,"Unit 1A/1 CLAYTON ST, MIDLAND WA",1/3/2025,31/03/2025,Network Distribution,Fixed Demand Charge,DAYS,350.94829,,,350.94829,31,"10,879.40","1,087.94","11,967.34",N
St John of God Health Care Inc,ALINTA ENERGY,ELEC,80018050,7/4/2025,7/5/2025,89010307,80022144973,"Unit 1A/1 CLAYTON ST, MIDLAND WA",1/3/2025,31/03/2025,Network Transmission,Variable Demand Charge <7k kVA,KVA,0.23111,,,0.23111,46500,"10,746.62","1,074.66","11,821.28",N
St John of God Health Care Inc,ALINTA ENERGY,ELEC,80018050,7/4/2025,7/5/2025,89010307,80022144973,"Unit 1A/1 CLAYTON ST, MIDLAND WA",1/3/2025,31/03/2025,Network Transmission,Variable Demand Charge >7k kVA,KVA,0.23275,,,0.23275,0,0,0,0,N
St John of God Health Care Inc,ALINTA ENERGY,ELEC,80018050,7/4/2025,7/5/2025,89010307,80022144973,"Unit 1A/1 CLAYTON ST, MIDLAND WA",1/3/2025,31/03/2025,Network Distribution,Variable Demand Charge <7k kVA,KVA,0.02556,,,0.02556,46500,"1,188.54",118.85,"1,307.39",N
St John of God Health Care Inc,ALINTA ENERGY,ELEC,80018050,7/4/2025,7/5/2025,89010307,80022144973,"Unit 1A/1 CLAYTON ST, MIDLAND WA",1/3/2025,31/03/2025,Network Distribution,Administration Charge (<7k kVA rate),DAYS,60.7022,,,60.7022,31,"1,881.77",188.18,"2,069.95",N
St John of God Health Care Inc,ALINTA ENERGY,ELEC,80018050,7/4/2025,7/5/2025,89010307,80022144973,"Unit 1A/1 CLAYTON ST, MIDLAND WA",1/3/2025,31/03/2025,Network Distribution,Demand Length Charge <10km,KVA,0.01956,,,0.01956,72958,"1,427.06",142.71,"1,569.77",N
St John of God Health Care Inc,ALINTA ENERGY,ELEC,80018050,7/4/2025,7/5/2025,89010307,80022144973,"Unit 1A/1 CLAYTON ST, MIDLAND WA",1/3/2025,31/03/2025,Network Distribution,Demand Length Charge >= 10km,KVA,0.01382,,,0.01382,0,0,0,0,N
St John of God Health Care Inc,ALINTA ENERGY,ELEC,80018050,7/4/2025,7/5/2025,89010307,80022144973,"Unit 1A/1 CLAYTON ST, MIDLAND WA",1/3/2025,31/03/2025,Network Other,Metering Fixed Charge,DAYS,0.17195,,,0.17195,31,5.33,0.53,5.86,N
St John of God Health Care Inc,ALINTA ENERGY,ELEC,80018050,7/4/2025,7/5/2025,89010307,80022144973,"Unit 1A/1 CLAYTON ST, MIDLAND WA",1/3/2025,31/03/2025,Other,Retail Service Charge,DAYS,1.99,,,1.99,31,61.69,6.17,67.86,N
St John of God Health Care Inc,ALINTA ENERGY,ELEC,80018050,7/4/2025,7/5/2025,89010307,80022144973,"Unit 1A/1 CLAYTON ST, MIDLAND WA",1/3/2025,31/03/2025,Market,Capacity Charge,,,,,,,"36,518.09","3,651.81","40,169.90",N
Accounts Payable,ALINTA ENERGY,,80018051,2/4/2025,2/5/2025,,,,,,Elect Adj Credit - Retail,Adjustment STC Binding CY25 STP 13.89% - Jan 25 & Feb 25,,,,,,,"-6,869.30",0,"-6,869.30",N
Accounts Payable,ALINTA ENERGY,,80018051,2/4/2025,2/5/2025,,,,,,Elect Adj Credit - Retail,Adjustment LGC Binding CY25 RPP 17.91% - Jan 25 & Feb 25,,,,,,,-847.71,0,-847.71,N
Accounts Payable,ALINTA ENERGY,,80018051,2/4/2025,2/5/2025,,,,,,Cash Payment,Payment received 532834 14/03/2025,,,,,,,"-218,947.57",0,"-218,947.57",N
Accounts Payable,ALINTA ENERGY,,80018051,2/4/2025,2/5/2025,,,,,,Interest,Interest Charges 11.68% 9 days,,,,,,,1.69,0,1.69,N
Accounts Payable,ALINTA ENERGY,ELEC,80018051,2/4/2025,2/5/2025,89010308,80021742446,"Unit ELEC/MURDOCH DR, MURDOCH WA",1/3/2025,31/03/2025,Environmental,STC Charge,KWH,0.005556,1.0078,1.0146,0.005681,1211592,"6,883.16",688.32,"7,571.48",N
Accounts Payable,ALINTA ENERGY,ELEC,80018051,2/4/2025,2/5/2025,89010308,80021742446,"Unit ELEC/MURDOCH DR, MURDOCH WA",1/3/2025,31/03/2025,Environmental,LGC Charge,KWH,0.008239,1.0078,1.0146,0.008425,1211592,"10,207.05","1,020.70","11,227.75",N
Accounts Payable,ALINTA ENERGY,ELEC,80018051,2/4/2025,2/5/2025,89010308,80021742446,"Unit ELEC/MURDOCH DR, MURDOCH WA",1/3/2025,31/03/2025,Market,Ancillary Charge,KWH,0.01238,1.0078,1.0146,0.012659,1211592,"15,337.21","1,533.72","16,870.93",N
Accounts Payable,ALINTA ENERGY,ELEC,80018051,2/4/2025,2/5/2025,89010308,80021742446,"Unit ELEC/MURDOCH DR, MURDOCH WA",1/3/2025,31/03/2025,Market,Market Fee,KWH,0.002938,1.0078,1.0146,0.003004,1211592,"3,639.80",363.98,"4,003.78",N
Accounts Payable,ALINTA ENERGY,ELEC,80018051,2/4/2025,2/5/2025,89010308,80021742446,"Unit ELEC/MURDOCH DR, MURDOCH WA",1/3/2025,31/03/2025,Energy,Off Peak Energy,KWH,0.0876,1.0078,1.0146,0.089572,625401,"56,018.54","5,601.85","61,620.39",N
Accounts Payable,ALINTA ENERGY,ELEC,80018051,2/4/2025,2/5/2025,89010308,80021742446,"Unit ELEC/MURDOCH DR, MURDOCH WA",1/3/2025,31/03/2025,Energy,Peak Energy,KWH,0.0935,1.0078,1.0146,0.095605,586191,"56,042.87","5,604.29","61,647.16",N
Accounts Payable,ALINTA ENERGY,ELEC,80018051,2/4/2025,2/5/2025,89010308,80021742446,"Unit ELEC/MURDOCH DR, MURDOCH WA",1/3/2025,31/03/2025,Network Other,Metering Service Charge M13,DAYS,0.17633,,,0.17633,31,5.47,0.55,6.02,N
Accounts Payable,ALINTA ENERGY,ELEC,80018051,2/4/2025,2/5/2025,89010308,80021742446,"Unit ELEC/MURDOCH DR, MURDOCH WA",1/3/2025,31/03/2025,Network Transmission,Fixed Demand Charge,DAYS,246.56404,,,246.56404,31,"7,643.49",764.35,"8,407.84",N
Accounts Payable,ALINTA ENERGY,ELEC,80018051,2/4/2025,2/5/2025,89010308,80021742446,"Unit ELEC/MURDOCH DR, MURDOCH WA",1/3/2025,31/03/2025,Network Distribution,Fixed Demand Charge,DAYS,350.94829,,,350.94829,31,"10,879.40","1,087.94","11,967.34",N
Accounts Payable,ALINTA ENERGY,ELEC,80018051,2/4/2025,2/5/2025,89010308,80021742446,"Unit ELEC/MURDOCH DR, MURDOCH WA",1/3/2025,31/03/2025,Network Transmission,Variable Demand Charge <7k kVA,KVA,0.23111,,,0.23111,27078,"6,258.00",625.8,"6,883.80",N
Accounts Payable,ALINTA ENERGY,ELEC,80018051,2/4/2025,2/5/2025,89010308,80021742446,"Unit ELEC/MURDOCH DR, MURDOCH WA",1/3/2025,31/03/2025,Network Transmission,Variable Demand Charge >7k kVA,KVA,0.23275,,,0.23275,0,0,0,0,N
Accounts Payable,ALINTA ENERGY,ELEC,80018051,2/4/2025,2/5/2025,89010308,80021742446,"Unit ELEC/MURDOCH DR, MURDOCH WA",1/3/2025,31/03/2025,Network Distribution,Variable Demand Charge <7k kVA,KVA,0.02556,,,0.02556,27078,692.11,69.21,761.32,N
Accounts Payable,ALINTA ENERGY,ELEC,80018051,2/4/2025,2/5/2025,89010308,80021742446,"Unit ELEC/MURDOCH DR, MURDOCH WA",1/3/2025,31/03/2025,Network Distribution,Administration Charge (<7k kVA rate),DAYS,60.7022,,,60.7022,31,"1,881.77",188.18,"2,069.95",N
Accounts Payable,ALINTA ENERGY,ELEC,80018051,2/4/2025,2/5/2025,89010308,80021742446,"Unit ELEC/MURDOCH DR, MURDOCH WA",1/3/2025,31/03/2025,Network Distribution,Demand Length Charge <10km,KVA,0.01956,,,0.01956,77038,"1,506.86",150.69,"1,657.55",N
Accounts Payable,ALINTA ENERGY,ELEC,80018051,2/4/2025,2/5/2025,89010308,80021742446,"Unit ELEC/MURDOCH DR, MURDOCH WA",1/3/2025,31/03/2025,Network Distribution,Demand Length Charge >= 10km,KVA,0.01382,,,0.01382,0,0,0,0,N
Accounts Payable,ALINTA ENERGY,ELEC,80018051,2/4/2025,2/5/2025,89010308,80021742446,"Unit ELEC/MURDOCH DR, MURDOCH WA",1/3/2025,31/03/2025,Network Other,Metering Fixed Charge,DAYS,0.17195,,,0.17195,31,5.33,0.53,5.86,N
Accounts Payable,ALINTA ENERGY,ELEC,80018051,2/4/2025,2/5/2025,89010308,80021742446,"Unit ELEC/MURDOCH DR, MURDOCH WA",1/3/2025,31/03/2025,Other,Retail Service Charge,DAYS,1.99,,,1.99,31,61.69,6.17,67.86,N
Accounts Payable,ALINTA ENERGY,ELEC,80018051,2/4/2025,2/5/2025,89010308,80021742446,"Unit ELEC/MURDOCH DR, MURDOCH WA",1/3/2025,31/03/2025,Market,Capacity Charge,,,,,,,"40,047.15","4,004.72","44,051.87",N
