Start,kWh_E,kVAr,kVA,kWh_B,Nett_Export_MHSP
"09-Mar-2025 00:00:00",1.288,0.000,1.288,0.000,-1.288
"09-Mar-2025 00:30:00",1.249,0.000,1.249,0.000,-1.249
"09-Mar-2025 01:00:00",1.256,0.000,1.256,0.000,-1.256
"09-Mar-2025 01:30:00",1.302,0.000,1.302,0.000,-1.302
"09-Mar-2025 02:00:00",1.292,0.000,1.292,0.000,-1.292
"09-Mar-2025 02:30:00",1.248,0.000,1.248,0.000,-1.248
"09-Mar-2025 03:00:00",1.271,0.000,1.271,0.000,-1.271
"09-Mar-2025 03:30:00",1.260,0.000,1.260,0.000,-1.260
"09-Mar-2025 04:00:00",1.306,0.000,1.306,0.000,-1.306
"09-Mar-2025 04:30:00",1.308,0.000,1.308,0.000,-1.308
"09-Mar-2025 05:00:00",1.269,0.000,1.269,0.000,-1.269
"09-Mar-2025 05:30:00",1.273,0.000,1.273,0.000,-1.273
"09-Mar-2025 06:00:00",1.070,0.000,1.070,0.000,-1.070
"09-Mar-2025 06:30:00",1.002,0.000,1.002,0.000,-1.002
"09-Mar-2025 07:00:00",1.046,0.000,1.046,0.000,-1.046
"09-Mar-2025 07:30:00",1.071,0.000,1.071,0.000,-1.071
"09-Mar-2025 08:00:00",3.553,1.031,3.700,0.000,-3.553
"09-Mar-2025 08:30:00",4.002,0.722,4.067,0.000,-4.002
"09-Mar-2025 09:00:00",4.576,1.262,4.747,0.000,-4.576
"09-Mar-2025 09:30:00",6.831,2.909,7.425,0.000,-6.831
"09-Mar-2025 10:00:00",6.680,2.660,7.190,0.000,-6.680
"09-Mar-2025 10:30:00",5.720,1.824,6.004,0.000,-5.720
"09-Mar-2025 11:00:00",6.070,2.249,6.473,0.000,-6.070
"09-Mar-2025 11:30:00",6.137,2.363,6.576,0.000,-6.137
"09-Mar-2025 12:00:00",6.079,2.121,6.438,0.000,-6.079
"09-Mar-2025 12:30:00",6.562,2.270,6.944,0.000,-6.562
"09-Mar-2025 13:00:00",6.820,2.295,7.196,0.000,-6.820
"09-Mar-2025 13:30:00",6.822,2.234,7.178,0.000,-6.822
"09-Mar-2025 14:00:00",7.033,2.494,7.462,0.000,-7.033
"09-Mar-2025 14:30:00",7.930,1.297,8.035,0.000,-7.930
"09-Mar-2025 15:00:00",9.049,2.034,9.275,0.000,-9.049
"09-Mar-2025 15:30:00",7.951,1.012,8.015,0.000,-7.951
"09-Mar-2025 16:00:00",9.369,2.106,9.603,0.000,-9.369
"09-Mar-2025 16:30:00",7.228,0.977,7.294,0.000,-7.228
"09-Mar-2025 17:00:00",6.962,0.711,6.998,0.000,-6.962
"09-Mar-2025 17:30:00",8.285,2.583,8.678,0.000,-8.285
"09-Mar-2025 18:00:00",5.201,0.504,5.225,0.000,-5.201
"09-Mar-2025 18:30:00",5.195,0.000,5.195,0.000,-5.195
"09-Mar-2025 19:00:00",5.513,0.000,5.513,0.000,-5.513
"09-Mar-2025 19:30:00",5.314,0.000,5.314,0.000,-5.314
"09-Mar-2025 20:00:00",5.050,0.000,5.050,0.000,-5.050
"09-Mar-2025 20:30:00",3.374,0.000,3.374,0.000,-3.374
"09-Mar-2025 21:00:00",1.802,0.000,1.802,0.000,-1.802
"09-Mar-2025 21:30:00",2.387,0.000,2.387,0.000,-2.387
"09-Mar-2025 22:00:00",2.559,0.000,2.559,0.000,-2.559
"09-Mar-2025 22:30:00",1.472,0.000,1.472,0.000,-1.472
"09-Mar-2025 23:00:00",1.451,0.000,1.451,0.000,-1.451
"09-Mar-2025 23:30:00",1.380,0.000,1.380,0.000,-1.380
"10-Mar-2025 00:00:00",1.351,0.000,1.351,0.000,-1.351
"10-Mar-2025 00:30:00",1.382,0.000,1.382,0.000,-1.382
"10-Mar-2025 01:00:00",1.370,0.000,1.370,0.000,-1.370
"10-Mar-2025 01:30:00",1.427,0.000,1.427,0.000,-1.427
"10-Mar-2025 02:00:00",1.418,0.000,1.418,0.000,-1.418
"10-Mar-2025 02:30:00",1.410,0.000,1.410,0.000,-1.410
"10-Mar-2025 03:00:00",1.352,0.000,1.352,0.000,-1.352
"10-Mar-2025 03:30:00",1.376,0.000,1.376,0.000,-1.376
"10-Mar-2025 04:00:00",1.364,0.000,1.364,0.000,-1.364
"10-Mar-2025 04:30:00",1.338,0.000,1.338,0.000,-1.338
"10-Mar-2025 05:00:00",1.361,0.000,1.361,0.000,-1.361
"10-Mar-2025 05:30:00",1.346,0.000,1.346,0.000,-1.346
"10-Mar-2025 06:00:00",1.261,0.000,1.261,0.000,-1.261
"10-Mar-2025 06:30:00",1.116,0.000,1.116,0.000,-1.116
"10-Mar-2025 07:00:00",1.130,0.000,1.130,0.000,-1.130
"10-Mar-2025 07:30:00",1.567,0.000,1.567,0.000,-1.567
"10-Mar-2025 08:00:00",2.937,0.468,2.974,0.000,-2.937
"10-Mar-2025 08:30:00",6.739,1.577,6.921,0.000,-6.739
"10-Mar-2025 09:00:00",6.861,1.654,7.058,0.000,-6.861
